Index,Box,Regional
1322,12173,3744
1323,12185,2751
1324,12189,3546
1325,12236,2401
1326,12238,2749
1327,12240,2745
1328,12245,1453
1329,12246,1222
1330,12255,933
1331,12257,299
1332,12260,728
1333,12262,489
1334,12266,139
1335,12268,66
1336,12281,438
1337,12285,437
1338,12286,369
1339,12302,561
1340,12309,667
1341,12318,253
1342,12324,2237
1343,12332,1003
1344,12334,1295
1345,12359,6876
1346,12367,5116
1347,12374,4648
1348,12376,2926
1349,12381,3326
1350,12384,4440
1351,12394,3140
1352,12441,8700
1353,12443,2402
1354,12445,2082
1355,12453,2410
1356,12459,1759
1357,12462,1219
1358,12464,1218
1359,12470,727
1360,12481,367
1361,12485,195
1362,12487,366
1363,12489,365
1364,12491,364
1365,12492,252
1366,12503,363
1367,12505,562
1368,12507,808
1369,12510,559
1370,12511,560
1371,12515,354
1372,12517,659
1373,12518,666
1374,12525,430
1375,12527,665
1376,12531,246
1377,12536,1596
1378,12538,1920
1379,12540,2238
1380,12545,1294
1381,12557,7654
1382,12567,7279
1383,12572,6878
1384,12573,6443
1385,12576,5568
1386,12581,5999
1387,12582,4191
1388,12588,2925
1389,12590,2563
1390,12592,3746
1391,12603,2753
1392,12607,3547
1393,12609,3142
1394,12618,4438
1395,12664,2083
1396,12666,2407
1397,12669,2406
1398,12672,1451
1399,12682,930
1400,12683,1002
1401,12684,298
1402,12686,488
1403,12691,726
1404,12693,141
1405,12695,64
1406,12708,251
1407,12711,250
1408,12726,355
1409,12733,436
1410,12736,428
1411,12743,245
1412,12747,105
1413,12759,1595
1414,12765,7996
1415,12782,7278
1416,12785,6445
1417,12793,5117
1418,12798,4650
1419,12800,3327
1420,12807,4192
1421,12829,3991
1422,12855,8703
1423,12880,2087
1424,12882,1760
1425,12890,2411
1426,12895,1452
1427,12896,1152
1428,12900,931
1429,12907,1001
1430,12915,196
1431,12918,65
1432,12920,194
1433,12922,193
1434,12924,192
1435,12926,104
1436,12933,198
1437,12936,356
1438,12938,557
1439,12941,558
1440,12945,353
1441,12947,186
1442,12950,429
1443,12951,435
1444,12957,244
1445,12959,242
1446,12960,663
1447,12965,99
1448,12970,2561
1449,12971,1918
1450,12973,2235
1451,12977,1293
1452,12979,1594
1453,13000,7642
1454,13003,6877
1455,13007,6446
1456,13009,6001
1457,13012,5569
1458,13015,5571
1459,13017,5118
1460,13020,3325
1461,13022,2924
1462,13023,3745
1463,13035,2754
1464,13043,3141
1465,13061,4437
1466,13119,1763
1467,13121,2088
1468,13130,1153
1469,13137,664
1470,13139,301
1471,13141,491
1472,13143,729
1473,13147,138
1474,13148,142
1475,13162,103
1476,13164,102
1477,13187,249
1478,13198,98
1479,13201,30
1480,13210,2560
1481,13211,1917
1482,13215,1297
1483,13237,7266
1484,13240,6002
1485,13242,6444
1486,13251,4649
1487,13260,4190
1488,13274,2412
1489,13357,2091
1490,13358,1764
1491,13360,1454
1492,13373,872
1493,13377,871
1494,13380,1004
1495,13392,132
1496,13396,137
1497,13397,135
1498,13399,134
1499,13401,133
1500,13405,29
1501,13409,187
1502,13411,350
1503,13413,352
1504,13415,185
1505,13416,351
1506,13420,61
1507,13423,243
1508,13424,433
1509,13432,97
1510,13434,434
1511,13436,95
1512,13442,2923
1513,13444,2234
1514,13450,1598
1515,13468,7995
1516,13477,6867
1517,13482,5572
1518,13485,5119
1519,13488,5120
1520,13489,4651
1521,13491,3743
1522,13492,3324
1523,13497,4193
1524,13508,2752
1525,13531,4436
1526,13551,8358
1527,13588,1455
1528,13590,1766
1529,13595,2092
1530,13597,1154
1531,13601,873
1532,13606,613
1533,13608,302
1534,13610,485
1535,13611,996
1536,13613,723
1537,13615,296
1538,13618,297
1539,13635,28
1540,13654,247
1541,13661,96
1542,13668,26
1543,13671,2564
1544,13673,2239
1545,13674,1921
1546,13677,1288
1547,13679,1587
1548,13687,8354
1549,13708,6000
1550,13709,6436
1551,13722,2927
1552,13723,3328
1553,13724,3747
1554,13728,3985
1555,13735,2740
1556,13737,2408
1557,13740,3541
1558,13745,3131
1559,13746,2742
1560,13808,1767
1561,13809,1458
1562,13811,1155
1563,13826,614
1564,13844,290
1565,13845,295
1566,13849,292
1567,13852,291
1568,13853,136
1569,13854,36
1570,13857,4
1571,13859,31
1572,13861,181
1573,13863,184
1574,13865,183
1575,13867,182
1576,13869,60
1577,13872,32
1578,13875,248
1579,13880,100
1580,13884,27
1581,13887,396
1582,13890,33
1583,13898,2549
1584,13899,1908
1585,13903,1589
1586,13927,6869
1587,13932,5570
1588,13934,5104
1589,13938,4635
1590,13945,4177
1591,13954,2409
1592,13956,2399
1593,13958,2089
1594,13963,3132
1595,13964,2741
1596,14026,1159
1597,14028,1459
1598,14031,1768
1599,14034,874
1600,14038,615
1601,14042,397
1602,14043,1289
1603,14044,487
1604,14046,724
1605,14048,998
1606,14051,484
1607,14053,486
1608,14058,481
1609,14088,101
1610,14094,34
1611,14104,2909
1612,14106,2225
1613,14112,1909
1614,14128,7643
1615,14139,7267
1616,14142,6437
1617,14144,5993
1618,14149,5556
1619,14154,3731
1620,14155,3309
1621,14171,2398
1622,14176,2400
1623,14178,3133
1624,14179,2743
1625,14183,3983
1626,14232,878
1627,14233,1460
1628,14234,1160
1629,14265,479
1630,14270,480
1631,14271,294
1632,14273,293
1633,14275,38
1634,14278,37
1635,14280,288
1636,14282,131
1637,14284,118
1638,14285,121
1639,14287,120
1640,14289,119
1641,14292,224
1642,14297,35
1643,14303,225
1644,14304,39
1645,14306,125
1646,14308,127
1647,14310,2910
1648,14312,2550
1649,14313,2226
1650,14316,1590
1651,14319,1911
1652,14347,6868
1653,14351,5984
1654,14353,5103
1655,14356,4634
1656,14359,3310
1657,14360,3730
1658,14361,4176
1659,14372,2090
1660,14373,2390
1661,14378,3537
1662,14379,2728
1663,14382,3124
1664,14383,2077
1665,14437,879
1666,14439,1161
1667,14443,1765
1668,14445,618
1669,14448,619
1670,14449,398
1671,14451,399
1672,14453,226
1673,14456,1291
1674,14457,725
1675,14460,999
1676,14462,719
1677,14464,722
1678,14466,718
1679,14493,76
1680,14503,126
1681,14517,2911
1682,14518,2227
1683,14551,7640
1684,14552,6862
1685,14554,6427
1686,14559,5555
1687,14566,4633
1688,14582,2729
1689,14583,3125
1690,14603,3982
1691,14634,1755
1692,14638,1456
1693,14639,880
1694,14668,717
1695,14670,482
1696,14673,483
